药品名称  通用名称：酒石酸唑吡坦片。商品名称：思诺思
剂型  片剂
性状  本品为薄膜衣片，除去薄膜衣后显白色或类白色。
主要成份  本品主要成份为酒石酸唑吡坦。
适应症  本品主要用于治疗偶发性，暂时性和慢性失眠症。
规格 10mg*7片
不良反应  这些不良作用的发生依赖于药物剂量和患者个体的敏感性。1. 不良的神经 - 精神作用(见【注意事项】):(1) 顺行性遗忘症可发生在治疗剂量时，其发生风险随剂量的增加而呈比例的增加。(2) 行为障碍﹑意识障碍﹑易怒﹑攻击性﹑易激动 ﹑幻觉﹑梦游症(见【注意事项】)。(3) 生理和心理依赖，即使在治疗剂量时也会发生，可伴有终止治疗时戒断综合征或反跳性失眠的出现。(4) 酒醉感，头痛，共济失调。(5) 精神错乱，警觉性减低甚至昏睡(特别是老年患者)，失眠症，噩梦，紧张。(6) 性欲改变。2. 不良的皮肤作用:皮疹﹑瘙痒症﹑荨麻疹﹑多汗症。3. 不良的全身作用:肌张力减退，无力感﹑不太不稳或跌倒(特别是老年患者中，当没有遵循唑吡坦的推荐给药剂量时)。4. 不良的视觉作用:复视。5. 不良的胃肠道作用:胃肠道功能异常:腹泻﹑恶心﹑呕吐﹑腹痛。6. 肝脏作用:肝脏酶增高。7. 免疫系统效应:血管性水肿(比如，急性血管神经性水肿)。
用法用量  本品口服给药1. 剂量(1) 应用本品治疗通常应使用最低有效剂量，不得超过最大治疗剂量。(2) 成人常用剂量 ： 10 mg/片/日。(3) 本品应在临睡前或上床后服用。(4) 老年患者或肝功能不全的患者 ：剂量应减半即为5 mg。(5) 每日剂量不得超过10 mg。(6) 由于缺乏相应的临床研究资料，本品不应用于儿童。(7) 根据患者的症状，本品可连续使用或按需使用。2. 治疗持续时间 ：(1) 本品的治疗时间应尽可能短，最短为数天，最长不超过4周，包括逐渐减量期(见【注意事项】)。(2) 应建议患者按下列方法接受治疗 ：对偶发性失眠(例如旅行期间)，治疗2-5天。对暂时性失眠(例如烦恼期间)，治疗2-3周。(3) 很短期治疗的患者无需逐渐停药。(4) 某些患者的服药时间可能需要超过4周，但必须首先对患者的情况进行谨慎和认真的评估后再做决定。
禁忌  下下列情况应禁忌使用本品：1. 对唑吡坦或本品任何一种成分过敏时。2. 严重呼吸功能不全。3. 睡眠呼吸暂停综合征。4. 严重、急性或慢性肝功能不全(有肝性脑病风险)。5. 肌无力。
注意事项  )。(2) 应建议患者按下列方法接受治疗 ：对偶发性失眠(例如旅行期间)，治疗2-5天。对暂时性失眠(例如烦恼期间)，治疗2-3周。(3) 很短期治疗的患者无需逐渐停药。(4) 某些患者的服药时间可能需要超过4周，但必须首先对患者的情况进行谨慎和认真的评估后再做决定。
孕妇及哺乳期妇女用药  1. 妊娠(1) 有关唑吡坦的动物实验没有证明有任何致畸作用。关于在妊娠头三个月期间的唑吡坦暴露方面，当前获得的临床数据尚不充分。(2) 通过相关药物(苯二氮卓类药物)的类推，我们认为：如果在妊娠中三个月和末三个月应用了高剂量的唑吡坦，那么胎儿主动运动可能会出现减少，胎儿的心率变异性可能出现减低。如果在妊娠即将结束时应用了苯二氮卓类药物(即使在低剂量下)，那么可能引起新生儿的药物浸渍征象，比如轴向张力减退和吮吸困难，这些症状可以导致新生儿体重增加缓慢。这些征象是可逆的，但是可能持续1-3周，具体时间依赖于所应用苯二氮卓类药物的半衰期。在高剂量下，新生儿可能会出现可逆性呼吸抑制或呼吸暂停和体温降低。(3) 此外，新生儿戒断综合征也是可能出现的，即使新生儿没有出现药物浸渍征象。新生儿戒断综合征表现为新生儿的过度兴奋、激动和震颤，这可以在分娩之后的一段时间内出现。发作时间依赖于药物的清除半衰期，如果药物的清除半衰期较长，那么出现发作的时间可能相当长。(4) 鉴于这些数据，我们建议，作为防范措施，不要在妊娠的任何阶段服用唑吡坦。在妊娠即将结束时，如果有必要应用唑吡坦治疗，那么应该避免高剂量给药，在对新生儿进行监护时，应该考虑到上面所述及的效应。2. 哺乳 在用药期间不建议母乳喂养。
